a	阿呵啊嗄腌吖錒锕
ji	嚌檵嵴檕革伋洎堲愱哜穊劑嶯曁吉癪卙殛蝍廭鰿嗘槉毄藉机羇妓魝庴犄懻簊濈嵆驥荠稷楫圾觙漈隮觊刏畸齏稩罽芨急偮輯譏銡迹蒺積雧记屐肌機蕀齎挤揤績蕺磯螏禨暩鸄齌瀱寂激箕幾鐖及鍓彶刉鬾鑇忌臮跡虮骥叽踑虀躋脊姬緝偈冀济湒乩緁塉坖郆旡给魕茍璾焏觭嘰籍丮磼佶撠諅鶏畟矶朞極嵇掎霁踖瘠稽紒撃旣諆勣鰶级击跽蔇几艥覬辑鯚皍裚櫅麂繋忣紀耭茤僟槣汲蘎戟鳮濟犱叝稘即岌銈済笈際其棘雞擊鯽級樭記薊膌计蹐譤疾霽鑙悸季玑唧蹟韲芰蓟讥賷穖魥繼鷑躤鲫跻寄羈系檝璣鶺泲基剤蘮漃鱀筓亽葪伎妀赍剞既枅鏶技卽缉梞彑祭惎継穄楖饑亟垍暨纪蟣戢集趌髻覊霵計饥畿鱾﨤魢襀橶擠际痵鱭鸡鞿墼嫉襋己齐禝羁綨覉绩錤笄鲚穧耤积蘻继飢极潗誋轚薺鷄鹡齑剂咭奇箿喞亼徛兾谻姞鵋癠躸
jia	价贾嘏價莢稼幏槚耞铗裌鴶檟珈夹圿脥佳榢傢豭玾椵唊甲颊鉫徦郏頬駕跲斝忦婽浃斚戛鵊迦枷拁抸笳糘岬伽戞犌鉀賈嫁貑夾郟鎵鴐扴家榎梜痂架跏鋏胛蛱猳頰浹加茄麚腵钾泇驾叚蛺瘕假恝嘉镓毠荚葭袈筴
jian	墹猏搛鹻諓缄缣剣檻殲裥瑐珔豣譛槛兼趝箭鞯礀鵑帴笕撿鶼蠒簡蹇践踐旔湕檢袸篯鰎鐱谫荐鵳健瀽奸碊幵鍵礷劒鍳俴瀐瀸漸饯揀豜検涧榗籛礆濺鑳鐗澗艰劍儉键僭锏鑑減翦韀彅鋻鑯鰔煎睷雃薦藆椾覵熞寋笺菺拣枧艱鑒襉蕳麉韉趼惤艦殱碱冿蔪鬋剑鳒洊舰肩渐詃熸謭臶繭姧件諫鹸瀳襺椷溅建戔襇鏩謇牮梘腱虃犍俭挸繝玪鰜間縑踺絸贱葌櫼栫跈劎轞简戋緘鹣监揃戬筧剱磵姦徤浅箋監鑬蕑馢蒹瞼礛擶暕茧瞷覸检瑊譼睑糋歼鹼楗餰间鞬捡譾弿菅見鰹尖堿谏餞堅囝剪湔鲣鳽柬坚賤鐧鉴賎见囏劔戩倹牋硷樫减毽
jiang	疅糨摾蔣櫤滰獎姜强鱂鳉繮奬糡蒋畺将弜犟嵹僵礓膙橿缰螿夅酱葁匠桨壃疆江殭講匞洚耩奖弶將槳翞浆畕漿傋塂茳韁摪顜螀奨绛讲謽勥醤降薑豇絳醬
jiao	撟僥交鱎滘矯挍窌鷮簥勦敿跤賋藠徺礁矫窖鹪劋憍斠筊絞虠噭釂茭狡鵁蕉鉸烄摷珓灚趭佼脚挢嶠侥徼较撹較潐鷦椒嶣剿攪呌孂校绞酵獥敽譥醮鐎缴煍訆璬敫鲛艽嬌郊敎湫浇龣儌嬓笅蛟茮穚胶轿皭峧叫膠膲觉嘦譑噍焦澆驕皦峤暞铰餃捁角皎教轇嶕娇曒踋繳饺晈姣憿僬臫鮫蟜骄嚼搅漖轎嘄蟭嘂腳
jie	楶价堦魪疥岕阶桔楷庎衸颉擮鶛藉滐犗丯桝蠘嗟杰刼掶鲒洁蠞喈碣借絜刧誱解檞届秸楬界蝔鍻榤嵥頡鞂鎅褯偼傑揭訐蜐劫狤羯偈搩拮鉣结尐徣稭畍莭礍楐鞊桀喼堺街結謯脻芥巀痎睫镼截杢飷琾皆掲鮚节唶媫媎孑婕蠽癤嫅家節觧湝擑菨袺介悈潔岊讦竭踕煯接衱屆毑昅迼捷姐诘蛣椄诫詰疌崨誡嶻骱階卩蓵蛶幯蚧玠戒吤砎倢媘疖刦卪劼
jin	嚍濅筋馑进襟斤近晉矜贐缙菫錦烬賮瑨縉金嫤僸藎覲黅赆钅今谨廑燼尽槿锦鹶惍靳巾僅勁進墐浸矝琎堇儘紟搢珒璡荕琻噤厪荩觐寖緊衿釒歏巹凚祲壗津堻仅觔璶浕紧晋瑾嬧砛禁蓳伒枃溍侭濜兓殣漌釿謹饉齽煡仐卺唫妗盡劤劲
jing	亰徑鏡聙荊淨憼径踁鯨桱景秔麠坕汫竫涇驚泾迳弳阱婙稉脛惊妌竞敬競粳暻幜鼱京莖兢蟼婧璥鶄靖肼汬宑竧麖竸茎鶁儆睛竟瀞頸猄鲸警静璄菁澋痉坙刭靜经胫井腈丼憬弪逕净旌曔經穽橸荆精誩旍凈鵛婛璟靓巠浄経靚镜剄頚痙傹坓梷倞殌獍俓葏晶境劲綡
jiong	侰浻駫炯褧蘏澃扃逈颎迥冏炅絅烱綗駉蘔顈埛窘熲燛囧煛冋煚僒冂泂坰
jiu	玖旧镹殧杦廄鳩欍乣紤丩韮鷲啾廐糺匓舊奺湫揫灸齨牞乆舏鸠揂摎久鬮韭樛咎倃糾究九蹴纠鯦赳鹫氿僦汣麔厩匛匶慦臼勼萛鬏酒救疚揪柩就舅桕柾阄廏朻
ju	跼龃眗齟锔桔籧挙捄鋸锯懅淗椐諊拒钜澽﨔菊挶遽昛犋鉅駶粔袓艍句毩鵙跙崌繘腒娵裾鶋湨鋦榘且讵炬居躹局飓梮鐻駏毱聥犑榉蹫趄鞠埾橘咀泃俱窭屦鞫擧簴侷疽焗巨倨岠踘窶举閰粷怇颶琚罝筥寠弆秬距惧具勮岨躆车匊蒟趜檋雎剧砠輂據狊欅倶蛆鼰莒踞愳凥枸拘詎駒啹婅婮掬椇埧鮔踽椈跔歫鵴邭鮈聚沮巈涺驹驧劇懼貗苴豦虡据壉抅洰柜苣蘜耟鶪蜛姖矩醵櫸鼳舉狙蚷拠泦襷陱鴡屨郹
juan	绢勬臇淃捐朘睊卷隽鎸镌蠲罥蔨絹踡裐焆劵桊捲睠娟鋑慻菤鄄鹃奆瓹巻眷倦羂帣絭锩錈獧埍狷勌餋圈讂腃呟鐫涓悁姢
jue	泬砄訣嶡诀疦爵钁攫阙抉爝臄觖趉蹶鴃噱撅蚗蕨芵噊决脚蹻氒赽鴂劂玨憠貜絶灍崛觮蟩覺绝屫戄蟨決譎匷焳觼躩孒傕鐍桷覚鐝屩谲覐掘撧觉熦憰彏倔弡厥虳蕝亅鳜爴噘絕瑴嶥挗玦欮矡捔鈌角瘚孓斍駃蹷櫭橜崫矍珏镢趹橛刔獗玃嚼爑鷢
jun	竣皲銁军頵菌龟隽鲪莙埈銞儁袀钧懏攈葰箟珺覠駿畯汮麕軍攟浚鵔濬燇姰桾碅峻棞鵕捃均蚐焌皹君晙呁俊郡箘蜠鵘鮶馂麇鍕陖賐麏骏寯雋筠鈞餕皸
ka	鉲喀咖佧胩咯咔垰卡
kai	揩欬奒蒈剴開愾楷暟锎剀开慨恺忾垲凱铠颽锴鎎嵦輆闿塏嘅鍇烗凯愷鎧闓炌勓鐦
kan	矙冚看坎戡欿崁堪墈凵槛刊嵁轗勘歁瞰栞衎闞侃砍惂阚磡輡顑鬫竷龛莰偘龕
kang	炕鏮伉粇槺穅闶鈧钪犺糠慷躿漮砊忼抗囥康亢扛嫝匟閌鱇邟嵻
kao	髛靠烤銬洘犒攷鲓铐鮳丂拷鯌熇栲尻嵪考
ke	轲颏揢缂堁錁碦磕醘骒愘樖渇薖咳钶壳娔珂敤嵑緙騍科瞌匼礚渴勀殼蝌翗殻峇窠痾氪可牱溘刻礊鈳顆呵稞頦趷客克课嵙疴萪坷颗犐恪砢嶱搕課苛髁炣柯棵衉锞嗑岢艐愙勊蚵軻榼牁
ken	錹貇墾恳褃掯垦懇硍肻肯裉豤啃肎
keng	阬摼坑硜鍞誙鏗挳牼妔吭硁銵劥硻铿
kong	倥崆悾箜空涳孔鞚錓控躻硿埪鵼恐
kou	瞉剾摳滱蔻芤瞘筘口眍怐冦鷇叩宼寇釦蔲扣劶彄抠窛敂簆
ku	鮬枯喾楛俈圐苦郀堀褲矻跍骷库窟刳哭绔桍嚳絝酷瘔焅庫狜秙袴裤
kua	垮銙咵趶胯跨骻姱舿夸侉誇挎
kuai	塊鄶狯噲哙浍鱠会筷儈凷墤欳膾郐圦擓糩鲙块巜侩廥蒯快旝澮獪脍
kuan	寛髋髖窽款臗梡宽歀寬欵窾鑧
kuang	诓誆洭诳砿况礦旷鋛壙鉱誑鑛忹矿纩哐岲硄絖爌穬黋筺貺況軦昿邝筐鵟懭圹軠夼眶恇匡框儣曠狅眖纊抂鄺懬絋軭匩邼贶矌軖狂劻
kui	窥愦憒馗楑聵巙鄈葵頍虁匮餽聭睽嘳喟殨簣鍷篑媿愧盔尯蹞騤藈聧揆蒉饋奎巋蘷跬顝溃嬇魁匱馈謉膭逵窺楏躨悝隗櫆晆骙聩刲鍨岿犪傀归暌夔籄蝰喹虧頯戣蕢亏闚潰磈煃
kun	醌裈鹍硱閫髨潉鯤鲲梱悃褌猑睏蜫稇裍髠菎崑壼裩瑻崐焜堃鶤鵾綑壸騉稛坤堒锟祵涃困髡熴阃昆錕琨捆閸晜
kuo	廓蛞括拡霩挄阔闊鞹鬠葀髺筈鞟扩萿頢濶擴栝韕
la	砬揧磖蜡镴瘌瓎辣喇揦啦蝲鬎攋櫴溂辢柆翋鑞癞鯻垃搚剌旯鞡拉腊楋菈邋爉蝋落藞臘嚹臈蠟
lai	来涞麳琜鶆俫襰瀬鵣鯠萊顂倈棶筙賫铼瀨賴藾癩箂庲來賚癞睐徕籁濑騋崃郲赉淶籟崍赖錸睞婡逨梾徠頼莱猍唻
lan	韊蘫榄燣浨譋谰欖纜燗栏兰漤攬懒欗籣爦覽爤斕攔斓鑭懶滥瓓嬾蓝瀾顲爁讕孏嚂壈葻钄囒拦懢览岚缆烂籃糷灠欄擥阑濫蘭篮镧灡繿璼揽醂躝澜罱嵐幱儖褴闌藍襕燷襴灆襤孄襽惏覧婪爛
lang	艆郎樃閬郒朖勆郞蜋浪啷硠琅斏瑯鎯阆躴螂朤塱蓢狼崀锒欴莨烺郎稂鋃嫏誏蒗廊朗蓈筤埌桹榔
lao	牢珯銠老耢耮硓磱澇嘮劳痨铑窂荖髝嗠粩栳獠轑醪橯捞撈浶鐒崂顟姥躼癆唠僗酪軂憦嫪朥蟧耂铹恅络嶗労狫勞憥烙佬咾潦涝哰落閖簩
le	勒叻楽簕扐砳氻鱳艻仂鰳阞餎鳓了嘞竻韷樂玏乐饹忇泐肋
lei	櫐酹礌鑸勒癗蕌蠝泪畾傫诔誄擂虆矋塁磊攂轠壨类鸓類羸纇厽欙礨蘽銇絫雷頛禷纍櫑儡礧罍蘲漯蕾嘞壘藟錑蘱樏鑘讄缧檑縲頪耒儽鼺瓃嫘涙纝灅垒蔂镭颣淚磥累鐳洡肋靁
leng	薐踜愣冷棱碐稜睖塄唥堎楞倰
li	斄鱱逦蛎粒李邐立栎裏秝悷鳨锂磿岦礫刕鑗鳢澧粝禮唎蟍欐檪蘺蝷貍梸躒喱狸儮隷屴剓蒞筣梨轹棙礰哩睝鸝溧吏脷傈利呖歷囄酈嫠厯痢劙壢靂蟸鯏癘厘峢褵儷鉝醨莉枥栃瑮苈離醴疠凓篥瓈峲俐戾艃疬麜理邌俚砅睙籬竰蜧婯穲礪蠣攦赲浰豊蚸瀝禲歴曆蠫縭例轢慄爏茘娳詈叓猁蛠濿厲綟謧鏫黎蓠廲觻厉峛靋里糲鲡轣骊娌涖笠攊孋荔菞砾礼讈唳塛鲤琍犂雳瓑櫔釐漓搮犁鬲沥驪鱧罹癧鷅犡盭跞栛蔾皪礼丽棃鴗鬁蠡力櫟麗隸囇篱嚦勵蜊糎鵹厤櫪曞蒚瓅擽犛纚鋰砺悡鹂粴藶栗盠离鯉爄苙巁隶灕朸莅坜珕沴俪藜鯬欚暦缡鋫錅瓥剺孷励悧蠇黧璃荲裡裏历郦攭樆嚟鱺
lia	俩
lian	聨摙瀲联籨鐮堜斂錬劆璉奁僆琏鄻炼鎌薕裢槤練楝殮煉连萰濂匳嬚鰊蔹帘溓蓮聫恋湅覝濓褳籢連螊襝蘞涟梿磏歛匲燫蹥亷臁噒簾潋奩裣翴漣殓縺臉聯鰱瑓鏈媡练嫾羷鬑怜謰脸戀慩熑纞鲢憐敛澰廉蠊嗹莲镰聮蘝链瀮櫣鍊
liang	辆靓悢喨諒湸辌谅駺俍凉凉脼唡踉椋哴両蜽墚倆粮輬魉俩粱梁倞樑两莨晾魎良緉量輌輛鍄涼兩掚裲亮糧啢
liao	竂鄝尦敹蹽漻寥豂髎窷辽遼嘹聊燎蟟撩爎尥炓獠缭鹩镣鐐嶚嶛镽璙膫飉療膋了蓼繚簝爒廖飂钌憭橑瞭撂僚疗尞廫寮嵺鷯暸釕潦憀料嫽蹘屪藔賿
lie	茢裂劽埒鴷犣鱲巤鬛猎趔列劣蛚聗烈迾咧浖烮煭冽猟擸颲獵姴挒鮤儠埓躐栵捩哷洌鬣
lin	藺嶙廩賃悋淋菻癛蔺吝凜繗躏斴箖鳞焛晽隣璘霖懔隣疄翷潾轥麟轔躙壣撛崊粦邻獜鱗懍躪琳驎临辚僯閵碄粼恡橉亃檩瀶鄰膦臨遴阾蹸凛鏻檁赁厸林癝瞵暽啉拎澟冧燐磷甐廪麐
ling	鲮鈴蛉魿霗岭靈蕶霛霊鸰呤羚跉铃綾蓤玲袊酃鯪零囹皊苓嶺欞鹷令瓴夌崚领龗砱绫祾領昤紷裬錂衑麢澪淩彾駖舲婈坽柃琌狑陵凌櫺笭朎醽岺霝齢閝刢鴒另炩棂翎灵蔆泠伶龄燯秢軨輘姈聆蘦羐竛齡棱孁菱詅爧掕
liu	遛刘磟琉藰留旈磂鹠鹨桞鰡蟉瑬媹六蓅麍硫蹓翏疁碌鎏嵧蒥澑駠橊飅飗裗镠栁馏浏懰飀桺熮瀏绺柳珋廇騮雡飂畱瑠骝駵鏐鶹锍畄劉鐂綹罶驑餾鬸流璢榴溜癅橮瘤陆镏嚠霤斿熘羀鎦旒嬼鷚鋶塯
lo	咯
long	篢滝儱櫳爖漋靇眬龍巄湰龓咙槞壟垄隆昽梇哢壠霳栊篭窿蘢癃鏧曨躘鸗隴竉龙笼襱嶐陇礱泷珑鑨弄贚拢礲驡蠪蠬嚨矓龒瀧徿胧聋朧聾垅茏豅瓏籠巃砻攏竜
lou	镂簍鏤蝼蔞熡屚露嘍蒌瘺瞜陋謱瘘甊篓髅遱漏螻摟喽塿溇嵝廔艛軁漊耧耬嶁鷜婁髏偻搂樓慺娄楼瘻鞻
lu	芦簏魯艣穞虂簵璐鸕泸绿籙鏴鯥舻娽逯枦櫨蓼蘆爐瓐勎虜峍淕路瀘熝鲈椂轆轤曥鵦盧賂顱淥蹗鹵録卢簶蓾菉坴謢廘炉虏澛艪鈩籚鲁鑪攎硉焒赂鸬髗鹿六蕗蠦祿剹甪蔍錄栌螰稑舮箓塷艫滷踛鵱魲辘鑥壚僇氌潞鷺廬矑鏕鱸勠噜鏀硵簬碌醁璷漉馿粶臚辂彔琭庐鴼嚧氇嚕撸輅玈禄膔颅騄樚垆橹圥卤鐪獹露侓摝陸騼戮掳趢轳塶擼纑盝渌罏穋鹭录胪瀂睩黸麓錴陆樐擄櫓镥磠
luan	巒鸞峦鵉鸾孪亂灤欒釠羉癵臠鑾孌攣圞娈栾卵圝脔虊曫滦乱灓孿奱癴脟挛銮
lue	鋝鋢稤寽畧
lun	溣耣轮掄輪碖蜦纶腀錀婨仑囵论踚崙倫鯩菕沦芲淪侖抡棆綸稐論磮惀陯埨圇崘伦
luo	癳捋萝儸硌蠡絡雒箩囖峈逻驘剆曪鮥覼泺騾骡蓏瘰倮荦羅硦笿罗攞鑼濼鏍镙鸁囉洛猡臝漯饠鵅椤咯欏络脶籮詻骆覶洜玀烙摞駱邏跞螺珞落锣裸躶纙蘿腡蠃犖頱啰
lv	呂捋履虑絽氀祣吕榈驴屡率穭箻濾梠挔绿緑膢膂葎膐櫖铝儢櫚膟捛稆屢鑢垏藘鋁嵂綠侶繂滤閭褛氯律慮郘驢勴偻闾侣縷缕旅僂爈褸
lve	掠锊圙略
m	呒姆呣
ma	鎷杩蟆蔴抹痲蟇螞睰碼嘜吗駡鰢閁蚂马鬕唛嘛溤孖鷌傌獁罵麻嫲玛骂榪禡瑪犘嗎媽馬妈亇痳摩码犸祃
mai	霾霢蕒賣勱脉鷶劢麥邁麦荬売卖霡脈佅嘪埋衇迈买買薶
man	鏋馒镘慲獌蛮槾缦瞒嫚鬘蠻螨顢満悗僈蔄曼熳颟漫樠謾澷矕縵鄤滿鏝谩满墁鞔幔屘鰻摱娨鳗蟎埋饅蔓慢襔鬗瞞
mang	蘉茫邙杗哤铓莽莾芒汒笀蠎牤漭駹硭氓蛖盲浝恾蟒吂茻壾狵鋩忙娏釯厖盳尨痝庬杧硥牻
mao	茂氂瑁蝐毷蓩冇卯罞蟊冒柕贸髦昴蝥峁冐皃鄮牦泖楙媢貌茆旄愗毟铆軞矛锚枆鉚覒帽芼萺茅戼耄袤酕毛笷鄚錨鶜猫髳冃貿眊夘瞀堥懋暓貓鉾渵
me	濹嚰么庅嚒嚜
mei	脄鎇魅睸梅跊嵄徾媒湈没眉湄鹛美沒渼祙挴抺郿毎袂珻鬽枚瑂痗躾酶眛坆莓睂镅攗每沬嵋塺栂妹寐玫楣浼篃凂嬍葿脢羙腜糜槑媺镁鋂燘媄昧韎苺楳鎂鶥蝞禖霉猸黴堳黣煤谜媚煝
men	虋闷亹菛們懣穈悶汶们璊玧燜暪门閅門钔懑捫扪鍆焖椚
meng	鯍濛懜瞢懵靀梦掹鯭錳蠓鹲艨猛檬鄳勐黾甿蜢夢擝莔矒鸏蒙霥氓冡虻盟萌氋朦蝱饛獴夣儚幪鼆艋礞蕄懞鄸溕橗顭霿尨甍曚矇锰孟
mi	麿蒾爢鼏宻粎灖祕沕麊覛冪洣蓂羃戂釄咪怽淧糜熐櫁蔝瞇蜜冖葞滵濔禰麛藌鸍幂醚谧漞弭濗靡謎嘧蔤銤覔密醿蘪蘼弥糸羋擟脒峚袮幎沵獼眯孊泌侎醾攠塓米觅迷宓祢覓簚秘瓕敉渳汨榓彌詸縻謐麋镾樒瀰幦猕芈谜
mian	勉緬鮸糆綿睌渑矏澠矈杣葂媔麵勔緜冕麪櫋缅绵矊偭宀棉愐免汅腼芇麫眠嬵靣面俛臱沔湎丏眄娩婂蝒麺靦喕檰
miao	邈瞄藐鹋苗嫹喵竗杪渺淼玅缈鶓庿描妙緲劰缪篎媌廟眇秒庙緢
mie	衊搣幭烕旀哶咩蔑礣篾蠛吀櫗瀎滅灭鱴乜薎鑖懱孭鴓
min	琝黽怋闵笽姄敯閔痻砇悯闽珉緍閩皿潣抿緡盿慜鍲黾忞捪暋憫玟敏缗鈱瑉苠惽旼琘勄敃忟愍崏僶錉蠠冺簢鰵罠刡碈笢湣鳘旻垊岷泯鴖民
ming	朙猽眀冥鸣瞑榠鳴螟鄍眳溟名命暝蓂洺詺凕茗明姳銘慏覭掵铭佲酩嫇
miu	谬缪謬
mo	没瘼膜眜嚤秣麼歿嬤磨魔莫礳寞袜万嬷默砞尛饃眿妺謨懡抹墨魩馍皌髍嗼镆嫼麽蓦嫫莈獏摩饝枺劘末瞐魹冒癦驀纆謩陌銆模茉摸蘑靺鏌塻貊耱爅貃貘蛨漠谟沫藦帓歾糢橅脉瞙殁帞黙嘿眽蟔擵摹圽昩絈无
mou	恈蛑謀某侔眸踎缪鴾麰呣谋繆哞鍪劺牟
mu	胟毣幕霂縸畞暮峔牳氁钼踇睦穆鞪仫鉧幙木姥牧狇牟炑墓苜莫姆畂模沐蚞母楘慕慔牡暯坶鉬莯拇砪目畝募畆雮艒亩畮畒毪
n	嗯唔
na	哪納拿捺钠鎿郍鈉镎那魶呐雫嗱乸内軜貀搻衲娜南纳拏肭吶豽蒳笝袦靹妠
nai	哪嬭柰萘褦螚艿鼐錼奈腉氖孻渿佴奶乃迺廼疓釢耐倷
nan	婻抩湳揇腩煵畘楠難喃莮暔戁遖难南蝻男囝柟萳侽枏囡娚諵赧
nang	饢囔囊馕曩攮儾蠰乪灢欜擃齉嚢
nao	孬譊嶩怓獿淖呶脑悩匘夒蛲恼撓鬧闹閙碙瑙蟯脳惱堖巎鐃獶憹臑嫐峱碯詉铙垴硇猱腦挠
ne	眲呐哪讷抐訥疒呢那
nei	腇錗內鮾哪脮鯘氝内氞馁餒那娞
nen	嫰恁嫩
neng	能
ng	嗯唔
ni	聣惄檷觬嶷掜狔睨匿誽籾淣怩馜棿坭麑霓鯢妳孴旎倪你苨尼擬嫟縌婗嬺吖跜兒伱蚭伲泥逆臡昵儞郳腻隬聻暱鲵猊铌鈮眤妮蜺堄拟儗溺屰齯柅膩呢貎晲薿屔抳氼愵秜胒輗
nian	卄蹍辇鯰焾蔫撚簐碾艌哖攆年廿秊撵鲇蹨念秊惗拈姩唸涊輦粘鮎秥淰捻躎埝鲶黏辗
niang	醸娘釀嬢孃酿
niao	裊袅溺尿褭嬲嬝脲茑鸟鳥樢蔦嫋
nie	臲孼噛讘闑鎳囁槷蹑摰涅踗捏籋帇巕糵嚙啮钀聶鑈櫱蠥圼隉陧錜湼孽苶臬颞嗫嶭敜踙躡鑷揑踂囓篞菍乜枿嵲齧痆糱镍捻镊蘖聂顳
nin	脌囜拰您
ning	薴聹獰寕寍佞宁甯狞寜侫聍鸋泞澝寧咛倿儜苧鑏嚀寗嬣柠擰鬡拧凝矃橣檸濘
niu	扭拗鈕忸杻牜狃钮紐炄靵牛莥纽妞汼
nong	燶繷浓膿挵农鬞醲挊齈禯農欁譨噥弄辳襛濃秾脓癑穠蕽檂儂哝侬
nou	羺鐞鎒槈檽耨獳
nu	努砮怒搙奴孥駑伮胬傉呶驽弩笯
nuan	煗渜奻暖餪
nun	黁
nuo	喏糯梛懧蹃愞那稬诺搦儺娜糥糑鍩锘諾榒橠懦掿挪逽傩穤
nv	衂釹女籹恧朒钕沑衄
nve	疟虐
o	哦筽噢
ou	謳蕅歐鷗藕耦藲嘔毆殴櫙呕慪熰偶吘欧鴎沤鏂塸区腢怄膒甌鸥讴瓯漚
pa	筢啪掱葩妑琶苩耙杷怕汃潖叭袙趴爬帕帊舥皅派
pai	哌輫蒎鎃牌猅箄簰迫沠排俳徘拍簲渒棑派湃
pan	媻泮磻叛詊伴萠拚判扳炍攀般蟠縏牉盼襻盤沜畔柈搫幋蒰瀊溿坢磐冸盘番眅鑻潘爿蹒蹣鞶鵥鋬胖跘拌丬鎜頖槃袢洀
pang	磅霶彷逄嗙肨厐螃舽鰟胮耪炐龐髈庞覫仿嫎膖徬鳑龎滂胖乓雱眫旁膀
pao	鞄抛礟拋麃炰靤泡皰砲褜奅麭礮刨炮袍軳狍疱咆匏脬萢跑袌庖垉麅爮
pei	旆毰辔賠蓜阫胚浿斾培沛衃珮裵俖犻霈怌陪帔姵配伂呸裴佩轡锫肧醅赔錇馷
pen	呠翸噴喯盆濆湓瓫歕葐喷
peng	傰淎篣輧韸烹軯鬅鹏泙騯槰搒漰砰弸掽碰竼捧恲磞椖塳棚匉塜芃輣膨朋蓬怦稝抨倗熢蟛篷嘭髼駍閛莑彭蘕纄鬔澎鵬剻皏椪踫梈硑錋硼鑝樥憉蟚韼堋袶捀
phos	喸
pi	魮圮鲏睥媲鎞椑擗辟鵧批霹旇貔錃翍肶駓礔陴嫓苉噽毘隦脴琵纰羆郫豾邳譬篺秛脾噼紕坯磇鼙嚭铍枈癖啤披丕澼狉闢稫伾罴膍鈹鴄鷿銢錍鈚仳秠甓吡毗匹壀釽螷鮍魾耚鉟潎蚽蚍嶏抷蠯陂裨阰髬腗礕否悂痞伓蚾屁淠諀揊狓僻疈鸊蜱憵劈被砒芘焷庀崥埤疲炋皮銔枇岯豼
pian	谝翩缏貵便骿騗諞騙骈楄跰囨駢蹁腁騈媥犏賆楩片扁覑篇骗褊偏鶣胼
piao	漂縹犥嘌朴螵骠旚剽翲莩勡飘薸驃皫票僄篻嫖鰾醥顠徱殍魒飃慓彯缥瓢瞟闝飄
pie	撇覕氕瞥暼鐅丿撆苤嫳
pin	娦礗姘馪朩穦汖拚娉贫琕榀品嬪貧砏玭驞嫔顰嚬聘拼频颦矉牝蘋薲
ping	胓砯枰蚲軿聠甹评娉艵萍蓱箳帡帲憑淜玶冯蛢鮃苹乒涄俜郱屏荓缾凴焩簈幈岼屛甁竮平坪檘評洴慿頩塀鲆凭瓶呯
po	岥笸珀砶坡破粕朴醗鄱尀魄桲廹岶昢酦醱迫繁婆嘙蒪泼陂潑泊颇叵釙洦箥皤湐钋鏺櫇頗鉕钷嚩敀烞蔢駊
pou	婄箁掊捊抙娝犃剖咅垺哣裒抔
ppun	哛
pu	鐠曝攵抪炇痡镤普暜朴莆僕譜墣圑噗獛铺鋪溥纀檏镨葡舗舖陠瀑堡穙匍瞨攴菩巬樸谱諩鯆濮璞浦暴酺贌蹼脯氆鏷扑菐潽蒲埔圃圤擈烳撲蒱仆
qi	斊璂唭齊暣盵綥琪綮愒唘魌蜞啔荠妻鲯矵碛綺僛摖崎弃岂萕忯祺蘄憩祈乞泣鏚蹊岓沏埼軝玘婍掑期磜鰭鬿騎淒旂企櫀蠐丌棲亓藄罊亝玂汔麒鶈悽讫淇琦绮霋紪啟屺慽颀炁迄棨稽祁岐螧藒鯕倛棄慼盀俟歧鐑榿骑啓七芪甈帺簱嘁漆萁鳍訖懠蕲呇鵸其碕蛴憇气夡敧芑騏鶀噐猉騹旗粸娸褄晵攲滊錡杞艩祇脐闙豈肵釮禥器郪頎綦起嵜碁缉濝麡疧亟墄邔愭戚蟿芞迉启碶捿欺気籏汽呮棋剘圻畦湆咠萋褀齐磧緀鄿簯湇锜踦桤傶檱臍跂啐欹骐栔磩氣契柒葺槭諬蚑鬐蚔蜝蚚斉奇凄砌耆陭﨑竒栖棊桼欫
qia	酠掐袷葜圶冾帢鞐拤洽髂硈峠跒恰殎胢擖卡
qian	欠阡鵮橬歉篟忴綪汘悭棈攐鈆黚谴鉗拑籤葥嗛扦騝臤潜仱钎仟蚈騚槏缱櫏鉛皘釺乾悓竏遷韆前岍籖靬掔儙槧鬜蜸謙攑牽佥簽乹壍芡軡圱嵌荨諐茾塹榩遣岒鏲堑千顅僉鰬杄圲签褰錢偂潛蒨虔鎆騫椠铅骞撁膁亁犍檶鈐媊钳鬝孯粁箝攓钱谦傔繾钤伣揵濳灊譴俔淺掮牵汧拪浅縴鹐篏迁歬纤墘慊銭搴慳愆扲刋厱奷肷芊輤黔茜羬婜嬱蔳倩谸蕁欦
qiang	羫樯嗴槍蹡繦嫱羻锵溬锖玱强抢繈羌蹌嬙牄檣唴将椌薔羟墏彊枪炝搶镪獇蘠艢熗墙羗謒牆篬呛斨鏘跄蔃啌蜣嶈羥戕襁鏹墻強蔷嗆戗摤廧鎗漒猐瑲腔戧
qiao	鄥缲愀誚鐰壳癄墧郻髜釥撬嫶桥槗磽巧荍鍬蕉顦鞽躈藮僑譙趬橋喬憔燋櫵菬帩悄僺髚鐈乔硗蕎跷毃雀墽頝蹺瞧橇劁鞒鄡翹犞竅敲韒侨墝翘繑峭礄鍫谯锹踍鞩撽窍峤陗趫嘺樵勪硚鞘俏幧繰诮燆荞骹
qie	窃笡聺箧穕愜厒惬挈悏切篋朅趄匧怯慊鍥踥洯鯜淁癿蛪竊锲伽砌妾且茄
